551,3696
550,3679
502,3663
537,3646
550,3696
537,3682
545,3666
542,3649
530,3672
550,3690
528,3672
519,3653
529,3655
556,3699
534,3679
511,3661
533,3642
543,3696
533,3681
521,3665
526,3647
527,3662
549,3686
545,3665
530,3653
524,3642
518,3691
533,3675
535,3663
498,3646
527,3664
545,3682
528,3664
545,3648
521,3647
549,3689
555,3676
529,3659
528,3639
564,3674
565,3686
527,3659
525,3648
549,3653
561,3693
544,3673
511,3655
544,3644
551,3689
555,3678
528,3664
531,3641
555,3664
553,3685
529,3663
534,3648
537,3639
559,3695
517,3680
567,3657
528,3648
551,3674
539,3683
540,3665
525,3648
548,3641
547,3691
545,3675
525,3650
545,3646
525,3685
545,3672
528,3664
544,3647
534,3657
568,3683
531,3667
543,3653
528,3637
555,3690
530,3679
547,3658
535,3638
551,3664
531,3690
547,3664
531,3648
546,3649
534,3696
549,3672
541,3662
550,3635
532,3680
554,3679
528,3664
522,3645
524,3664
557,3685
539,3667
537,3653
525,3644
552,3687
503,3679
530,3659
527,3646
549,3664
543,3687
496,3667
518,3649
545,3648
544,3688
496,3673
521,3659
539,3634
541,3679
495,3680
527,3664
540,3648
509,3652
518,3694
534,3677
528,3653
523,3641
528,3684
531,3675
539,3664
538,3638
547,3664
555,3689
537,3669
540,3655
521,3648
543,3696
518,3679
528,3660
550,3638
541,3676
548,3681
537,3668
535,3649
534,3648
541,3691
526,3674
542,3650
543,3644
523,3685
551,3677
539,3664
534,3648
537,3661
511,3690
530,3666
541,3649
507,3648
528,3696
530,3679
537,3658
527,3645
541,3670
555,3682
545,3662
539,3653
509,3653
550,3694
552,3667
527,3655
522,3643
552,3675
539,3678
511,3663
528,3646
539,3655
525,3694
531,3664
511,3657
511,3635
551,3695
544,3673
534,3658
543,3641
518,3674
540,3691
537,3666
544,3648
521,3651
519,3696
550,3664
544,3658
550,3635
549,3685
547,3683
543,3664
517,3648
519,3658
548,3686
541,3668
523,3651
529,3642
511,3694
538,3678
528,3666
507,3645
511,3671
551,3685
519,3666
537,3655
502,3649
560,3693
537,3680
550,3660
529,3644
503,3677
547,3676
537,3666
539,3649
509,3650
544,3689
526,3671
546,3654
506,3641
542,3682
545,3680
542,3664
505,3643
528,3653
528,3689
527,3666
547,3647
537,3646
548,3691
544,3677
548,3659
507,3639
539,3670
554,3686
521,3666
545,3645
509,3648
557,3694
530,3674
519,3654
511,3638
541,3683
552,3686
519,3667
538,3646
547,3664
527,3689
528,3675
531,3650
503,3642
530,3695
537,3682
523,3662
522,3643
508,3677
541,3682
533,3664
528,3648
534,3648
555,3702
540,3669
531,3661
496,3646
551,3678
538,3683
501,3663
509,3648
538,3661
511,3689
535,3667
532,3655
521,3637
519,3690
518,3680
532,3662
516,3648
523,3664
551,3684
541,3667
522,3649
528,3654
546,3701
545,3669
511,3663
501,3636
511,3675
544,3685
533,3663
524,3646
529,3651
538,3685
544,3675
521,3648
518,3639
527,3686
541,3681
543,3655
532,3648
526,3664
529,3682
541,3670
538,3647
501,3641
549,3696
543,3675
541,3653
503,3645
564,3678
542,3686
529,3655
547,3648
560,3650
544,3693
541,3673
530,3659
535,3643
542,3690
518,3678
528,3654
547,3645
531,3662
550,3682
528,3665
542,3649
531,3647
534,3693
542,3677
557,3662
528,3642
544,3666
539,3680
545,3668
534,3649
531,3651
558,3689
551,3675
533,3653
534,3635
524,3680
543,3678
535,3667
498,3649
527,3659
561,3687
533,3665
547,3651
531,3643
557,3690
541,3681
544,3661
536,3645
529,3674
533,3680
549,3669
535,3648
498,3643
537,3696
547,3671
545,3658
498,3642
535,3678
549,3683
541,3665
503,3643
528,3661
555,3690
541,3671
496,3658
528,3641
553,3690
539,3677
499,3659
525,3642
545,3663
530,3685
503,3669
524,3648
541,3648
520,3696
496,3679
522,3658
537,3645
496,3674
526,3679
518,3666
531,3646
522,3650
528,3685
535,3676
539,3650
491,3637
523,3682
532,3680
510,3663
511,3648
537,3663
529,3690
507,3668
505,3653
525,3641
529,3695
543,3675
518,3664
519,3637
509,3674
519,3693
538,3667
523,3647
543,3653
547,3691
543,3671
543,3659
530,3639
505,3687
533,3678
546,3665
519,3648
540,3654
526,3696
543,3667
522,3658
501,3648
543,3692
544,3671
506,3661
534,3639
502,3667
543,3685
527,3664
537,3650
511,3650
547,3696
544,3675
530,3661
507,3638
509,3679
522,3677
535,3663
507,3643
545,3660
554,3688
526,3665
528,3652
502,3644
533,3681
548,3677
534,3663
538,3643
523,3665
518,3690
543,3665
518,3649
522,3651
511,3690
509,3677
528,3661
534,3638
530,3678
499,3683
528,3662
534,3648
523,3654
528,3691
547,3675
539,3655
538,3641
548,3690
542,3682
547,3664
497,3645
503,3664
525,3693
528,3664
504,3648
541,3647
545,3697
551,3681
533,3653
529,3641
540,3678
528,3687
505,3664
533,3649
531,3655
